,위치,강도,살인,강간,절도,폭행
212,광주,6.7,4.4,6.2,6.8,3.9
213,대전,5.4,5.8,4.2,6.4,5.7
214,울산,3.5,3.5,2.9,3.7,4.4
215,경기,3.1,2.9,4,3.7,3.3
216,전북,1,2.7,2.2,2.3,1.5
217,경남,3.8,4.6,2.2,4,4.3
218,경북,0.7,1.5,0.9,1.4,2.2
219,제주,2.9,5.8,2.6,3.2,3.3
220,충남,3,3.8,2,2.5,1.9
221,전남,0.5,1.7,0.6,0.8,1
222,강원,0.6,1.2,0.7,0.8,1.6
223,충북,0.6,1.2,0.5,0.7,0.8
224,서울,21.6,17.1,29.1,22.3,26.7
225,부산,8.2,7.6,7.8,8.3,5.9
226,대구,4.2,3.6,5.3,5.5,4
227,인천,7.1,6,5.6,3.7,6.3
228,광주,3.3,2.2,3.5,3.9,4.1
229,대전,5.2,3.2,2.9,4.3,1.9
230,울산,2,2.5,1.8,2.2,2.7
231,경기,20.3,20.4,20.4,20.9,25.2
232,강원,3.5,2.7,2.4,2.3,2.6
233,충북,3.4,3.7,2.2,3.1,2.5
234,충남,5,7,3.9,4.3,2.4
235,전북,4,3.3,3,3.4,3.2
236,전남,2.4,5.1,2.6,3,3.4
237,경북,3.4,6,3.6,4.4,3
238,경남,4.9,7.8,4.6,6.5,4.5
239,제주,1.5,1.9,1.2,1.9,1.6
240,서울,19,17.3,31.1,22.5,24.6
241,부산,11.5,6.6,6.1,8.2,5.9
242,대구,4.2,4.3,4.6,5.2,4.4
243,인천,7.2,5.8,6.5,4.3,6.6
244,광주,3.1,1.9,3.2,3.4,3.5
245,대전,4.4,2.6,2.9,3.9,2.7
246,울산,0.6,2.1,1,1.4,1.7
247,경기,21.3,23.8,21.9,21.1,25.7
248,강원,2.4,3.5,2.3,2.4,2.5
249,충북,3.1,3.7,2.4,3.1,2.5
250,충남,3.5,5.8,3.3,4.3,2.4
251,전북,3.2,3.2,2.8,3.5,3.1
252,전남,2.6,3.8,2.5,3,3.4
253,경북,4.9,4.9,3.1,4.4,3.3
254,경남,7.1,7.5,4.7,7.2,5.9
255,제주,2.2,2.8,1.4,1.7,1.6
256,서울,22.4,16.4,28.8,23.1,23.7
257,부산,11.8,8.1,5.9,8.3,6
258,대구,4.7,3.4,4.1,4.5,4.4
259,인천,7.5,5.6,7.3,4.9,7.1
260,광주,4.2,1.8,3,3,2.9
261,대전,3,2.6,2.8,3.5,3.1
262,울산,1.8,1.5,1,1.3,1.5
263,경기,16.4,27,23.5,22,25.6
264,강원,2.5,3.3,2.5,2.6,3
265,충북,2.2,3.4,2.7,3,2.7
266,충남,4,5.8,3.4,4.3,2.5
267,전북,3.3,3.1,2.4,3,3
268,전남,2.5,3.9,2.8,3.1,3.3
269,경북,4.2,5.1,3.2,4.6,3.5
270,경남,7.1,7.2,4.8,6.8,5.6
271,제주,2.2,1.8,1.9,1.7,1.9
